name,region,electricity,agland,co2,methane,ghg
Afghanistan,South Asia,42.7,58.06911129,8463.436,13493.3,17791.3299
Albania,Europe & Central Asia,100,43.84306569,4598.418,2592.37,8506.996034
Algeria,Middle East & North Africa,98.88497162,17.37133356,119177.5,47575.5,167674.633
Angola,Sub-Saharan Africa,33.5149498,46.83564611,29057.308,18602.4,40029.3921
Argentina,Latin America & Caribbean,98.82,53.89028352,187919.082,86741.6,364684.2538
Armenia,Europe & Central Asia,99.8,60.94134176,4217.05,3328.72,11393.03935
Australia,East Asia & Pacific,100,51.88289965,390861.863,122574,782102.6922
Austria,Europe & Central Asia,100,33.65830618,67502.136,8391.49,94172.35094
Azerbaijan,Europe & Central Asia,99.96567535,57.67034456,30678.122,18400.5,50724.56964
"Bahamas, The",Latin America & Caribbean,99.56098938,1.498501499,1653.817,222.181,4570.357553
Bahrain,Middle East & North Africa,100,11.28608924,29266.327,3312.28,30921.97084
Bangladesh,South Asia,55.26,70.99177998,59937.115,103080,177504.4736
Belarus,Europe & Central Asia,100,43.85411533,63043.064,16437.5,108204.5472
Belgium,Europe & Central Asia,100,44.77212682,110824.074,9632.35,138029.4109
Belize,Latin America & Caribbean,89.91722437,6.882946076,539.049,224.011,1498.87845
Benin,Sub-Saharan Africa,34.2,30.50727208,5089.796,6845.63,33029.82235
Bermuda,North America,100,6,608.722,30.3529,594.6515718
Bhutan,South Asia,73.28291087,13.64220689,487.711,1734.98,3220.40038
Bolivia,Latin America & Caribbean,84.29481506,34.63121942,15203.382,22775.9,102900.5156
Bosnia and Herzegovina,Europe & Central Asia,99.85575867,41.875,21275.934,3078.6,25619.33132
Botswana,Sub-Saharan Africa,47.79311371,45.63195878,4686.426,4360.95,81652.2556
Brazil,Latin America & Caribbean,98.88305664,32.71816457,419754.156,443289,2902242.618
Brunei Darussalam,East Asia & Pacific,100,2.542694497,8203.079,4450.36,14123.59808
Bulgaria,Europe & Central Asia,100,46.53647752,44114.01,12010.7,67945.3135
Burkina Faso,Sub-Saharan Africa,13.1,44.15204678,1961.845,14663.9,43405.90919
Burundi,Sub-Saharan Africa,5.3,71.37850467,212.686,2665.55,6040.98237
Cambodia,East Asia & Pacific,31.1,30.90301382,5012.789,35210.7,126272.1976
Cameroon,Sub-Saharan Africa,52.8793602,20.51998054,6780.283,18153.3,99823.2841
Canada,North America,100,6.957555443,534670.602,104529,764137.6753
Central African Republic,Sub-Saharan Africa,9.8,8.154354875,264.024,83996.9,511442.6893
Chad,Sub-Saharan Africa,6.4,39.33846887,517.047,18003.8,109130.4151
Chile,Latin America & Caribbean,99.38864136,21.1732649,72250.901,18020.1,114284.9966
China,East Asia & Pacific,99.7,54.80809922,8776040.416,1642260,11183810.6
Colombia,Latin America & Caribbean,96.788995,38.30824696,76174.591,66646,166695.8669
